,car_name,price,kms_driven,fuel_type,city,year_of_manufacture
301,Maruti Suzuki Swift DZire VXI,417000,21391,Petrol,Kolkata,2014
302,Renault Kwid CLIMBER 1.0 (O),483000,11546,Petrol,Delhi,2021
303,Hyundai Santro Sportz,589000,16270,Petrol,Pune,2020
304,Nissan Micra XV Diesel,290000,73000,Diesel,Ahmedabad,2012
305,Hyundai Grand i10 Magna AT,549000,53000,Petrol,Hyderabad,2018
306,Mercedes-Benz CLA 200 Petrol Sport,1925000,34000,Petrol,Mumbai,2016
307,Hyundai Venue S 1.0 Petrol,1064000,16328,Petrol,Pune,2019
308,Land Rover Range Rover Evoque,7700000,5600,Petrol,Thane,2021
309,Maruti Suzuki S-Cross Alpha 1.3,760000,73994,Diesel,Hyderabad,2016
310,Hyundai Verna SX (O) AT,1059000,43920,Petrol,Bangalore,2019
311,Maruti Suzuki Wagon R 1.0,317000,17715,Petrol,Kolkata,2014
312,Toyota Corolla Altis G Petrol,1040000,82902,Petrol,Delhi,2018
313,Maruti Suzuki Wagon R 1.0,471000,23344,Petrol,Hyderabad,2018
314,Hyundai Verna 1.6 VTVT SX,749000,93494,Petrol,Kolkata,2019
315,Honda Jazz V AT Petrol,725000,27222,Petrol,Mumbai,2018
316,Hyundai Creta S 1.5 Diesel,1600000,14468,Diesel,Hyderabad,2021
317,Honda Jazz V Diesel,747000,40000,Diesel,Pallikarnai,2017
318,Maruti Suzuki Ciaz ZXI+,575000,65000,Petrol,Thane,2015
319,Maruti Suzuki Alto K10 LXi,190000,60028,Petrol,Delhi,2012
320,Mercedes-Benz CLA 200 CDI Sport,2950000,37300,Diesel,Bangalore,2018
321,Hyundai Creta 1.6 SX Plus,1125000,32143,Petrol,Mumbai,2018
322,Hyundai Elite i20 Asta 1.2,645000,55669,Petrol,Chennai,2016
323,Hyundai Grand i10 Magna 1.2,405000,72757,Petrol,Delhi,2016
324,Honda City SV CVT,875000,56000,Petrol,Ahmedabad,2017
325,Maruti Suzuki Swift VXi ABS,326000,70244,Petrol,Kolkata,2013
326,BMW X1 sDrive20d xLine,2145000,46595,Diesel,Delhi,2018
327,Maruti Suzuki XL6 Zeta MT,951000,20703,Petrol,Ahmedabad,2020
328,Tata Harrier XZ [2019-2020],1465000,47579,Diesel,Mumbai,2019
329,BMW X1 sDrive20d xLine,2800000,31000,Diesel,Kolkata,2019
330,Mercedes-Benz GLE 350 d,5800000,31300,Diesel,Ahmedabad,2019
331,Ford EcoSport Titanium+ 1.5L TDCi,750000,52157,Diesel,Hyderabad,2016
332,Mahindra XUV500 W6 AT,950000,91000,Diesel,Ahmedabad,2016
333,Audi A6 2.0 TDI Premium,2100000,69631,Diesel,Hyderabad,2013
334,Hyundai i20 Active 1.2 S,611000,32036,Petrol,Mumbai,2018
335,Mercedes-Benz AMG GLA35 4MATIC,6450000,2000,Petrol,Chennai,2022
336,Hyundai Elite i20 Asta 1.2,600000,22621,Petrol,Kolkata,2018
337,Honda City VX,625000,45000,Petrol,Thane,2015
338,Hyundai Verna Fluidic 1.6 VTVT,1126000,33423,Petrol,Pune,2019
339,Hyundai i10 1.1L iRDE Magna,350000,31500,Petrol,Ahmedabad,2015
340,Hyundai Creta SX Plus 1.6,925000,51000,Petrol,Thane,2017
341,Renault Duster 85 PS RXS,979000,39030,Diesel,Bangalore,2018
342,Mercedes-Benz C-Class C 200 Avantgarde,3056000,27236,Petrol,Bangalore,2018
343,Maruti Suzuki Celerio VXi,357000,24063,Petrol,Kolkata,2015
